ANO;TRIMESTRE;AGROPECUARIA;INDUSTRIA;SERVICOS;VA;PIB
2010;1;3.199;21.442;43.069;67.711;78.220
2010;2;6.367;24.721;45.123;76.211;87.413
2010;3;5.047;27.617;46.898;79.561;91.226
2010;4;2.473;27.491;51.727;81.691;94.264
2011;1;5.437;25.971;48.728;80.136;92.035
2011;2;10.169;27.946;50.811;88.926;101.250
2011;3;6.321;31.126;52.632;90.078;102.553
2011;4;1.869;30.907;57.716;90.492;104.287
2012;1;5.077;26.584;56.686;88.346;101.230
2012;2;10.596;29.039;58.383;98.018;111.562
2012;3;8.332;32.226;60.595;101.154;114.949
2012;4;1.553;32.281;65.744;99.578;114.542
2013;1;4.961;29.196;63.939;98.096;111.926
2013;2;9.839;31.366;66.161;107.367;121.885
2013;3;7.075;35.714;68.751;111.540;126.023
2013;4;2.189;34.894;74.725;111.808;128.172
2014;1;5.983;31.998;71.188;109.169;124.443
2014;2;9.943;31.214;72.341;113.499;128.615
2014;3;6.542;34.675;74.441;115.658;130.717
2014;4;3.117;33.011;79.699;115.828;132.859
2015;1;5.627;27.968;74.943;108.538;123.630
2015;2;9.642;28.588;75.843;114.073;129.112
2015;3;6.712;31.936;78.183;116.832;131.959
2015;4;2.458;30.808;84.734;118.000;134.630
2016;1;6.849;25.953;77.627;110.429;126.455
2016;2;13.451;28.588;79.384;121.423;137.719
2016;3;10.220;31.941;81.693;123.854;140.100
2016;4;2.696;31.950;88.121;122.767;140.536
2017;1;7.769;30.268;83.228;121.264;138.257
2017;2;13.430;30.345;83.771;127.546;144.791
2017;3;6.580;34.012;86.025;126.616;144.020
2017;4;934;33.841;94.875;129.649;149.308
2018;1;5.921;30.494;87.907;124.322;142.457
2018;2;12.856;33.971;88.401;135.227;153.602
2018;3;7.804;39.514;91.801;139.119;158.293
2018;4;1.468;38.840;99.808;140.116;160.524
2019;1;5.931;35.116;92.324;133.372;152.886
2019;2;12.081;37.197;93.636;142.914;162.487
2019;3;5.945;42.671;97.398;146.014;165.642
2019;4;2.445;39.849;106.871;149.165;170.857
2020;1;9.387;34.343;95.038;138.769;158.744
2020;2;17.772;34.769;86.957;139.498;155.835
2020;3;11.468;44.294;96.293;152.054;172.081
2020;4;6.611;45.197;109.563;161.371;184.922
2021;1;15.438;44.078;100.092;159.609;181.722
2021;2;26.315;53.799;102.687;182.801;205.800
2021;3;12.837;61.623;110.888;185.347;209.723
